food,n_users,eat_days,within_diff,p_value,significant,sig_label
Smoothie,74,1017,-0.15865596505788482,0.10232770923406187,False,
Dairy,113,1974,-0.15715900914790826,0.016140496453781503,True,*
Coffee,698,14258,-0.10208472796391221,0.5044341081106845,False,
Bread,163,1844,-0.1004848348236036,0.8299287987884457,False,
Milk,382,5739,-0.08923258184945859,0.719691648832254,False,
Fries,90,580,-0.07888374953442645,0.18763384317482024,False,
Hot Chocolate,36,598,-0.07272378919133449,0.3126079806009412,False,
Rice,207,1662,-0.06428217169846062,0.8019332548991993,False,
Tea,556,8479,-0.06385739541267765,0.6960278878264617,False,
Salad,421,3723,-0.06332063321172343,0.050859778266022636,False,
Butter,47,514,-0.06157036257193471,0.8297104821081839,False,
Carrots,87,755,-0.05084962089055267,0.6302957952007756,False,
Banana,444,4637,-0.039497011948088745,0.25780186173802333,False,
Broccoli,96,677,-0.03688562456577793,0.777816080614825,False,
Toast,130,1164,-0.03464848245162788,0.0142243470388219,True,*
Yogurt,161,1440,-0.02514624492083517,0.5255359484294057,False,
Avocado,114,834,-0.018362643218758357,0.3149116669451224,False,
Soda,52,498,-0.013503193100269928,0.6374005608953051,False,
Gluten,99,1706,-0.002160145719057982,0.17564231626426197,False,
Tomatoes,69,467,-0.0007079104594785446,0.16935408561070353,False,
Chips,148,1026,0.003795580521449793,0.295795986199194,False,
Potatoes,116,755,0.004960567045272368,0.002628556119380477,True,**
Chocolate,530,7549,0.010953375939891097,0.7572165362274529,False,
Cheese,279,2548,0.012557932625221535,0.00871236653662825,True,**
Orange Juice,89,582,0.01284790305829897,0.7921020632068321,False,
Chicken,551,4974,0.014851427227597025,0.4332590549465156,False,
Water,708,12544,0.016080369681472084,0.4028553360630246,False,
Alcohol,87,934,0.01935746488701595,0.028628175660808386,True,*
Popcorn,83,552,0.019984405251158854,0.06498939475525199,False,
French Fries,57,483,0.022562725532751626,0.05614555034752417,False,
Almond Milk,68,572,0.024293795174412547,0.07178446911798173,False,
Pizza,444,3270,0.02527141615358075,0.770854701530181,False,
Ice Cream,160,1313,0.029278171823896137,0.8880845406056206,False,
Blueberries,86,989,0.03171436493535129,0.5802643652776147,False,
Sugar,415,6016,0.032507982398299884,0.2304713641434437,False,
Egg,128,930,0.037892314407015015,0.21311943649716303,False,
Pasta,201,1434,0.04019063427903169,0.11013121262672604,False,
Bacon,111,890,0.040557231597792676,0.9693923676619498,False,
Oatmeal,125,994,0.04323171776499879,0.6712447242378161,False,
Spinach,73,567,0.050496825126738365,0.06333178842036782,False,
Cereal,132,1374,0.0701608990311624,0.06257280163049549,False,
Strawberries,80,731,0.07029893838129042,0.8667945013760339,False,
Grapes,75,621,0.07211006990435165,0.36165221528186664,False,
Apple,183,1341,0.07644380724148836,0.3446998252885175,False,
Peanut Butter,90,621,0.07665551067347498,0.3030071002987673,False,
Veggies,31,762,0.08548702632330107,0.12910079956054688,False,
Coke,51,620,0.086964085628354,0.5424398603127889,False,
Eggs,180,1601,0.09429727190504822,0.12509881199903378,False,
Cookies,81,532,0.09695677741840636,0.7835541870769106,False,
Crisps,61,907,0.11619845990741462,0.7337690084812389,False,
